nationality,class,time_s,time,5ktime,5kdiff,5kminperk,5kkmh,5kplace,10ktime,10kdiff,10kminperk,10kkmh,10kplace,15ktime,15kdiff,15kminperk,15kkmh,15kplace,20ktime,20kdiff,20kminperk,20kkmh,20kplace,finishtime_s,finishtime,finishdiff,finishminperk,finishkmh
SWE,D45,5867,01:37:47,00:22:31,22:31,04:31,13.32,266,00:45:16,22:45,04:34,13.18,305,01:08:58,23:41,04:45,12.66,326,01:32:56,23:58,04:48,12.51,320,5867,01:37:47,04:50,04:25,13.61
SWE,H17,4886,01:21:26,00:19:17,19:17,03:52,15.55,411,00:38:07,18:50,03:47,15.92,364,00:57:14,19:06,03:50,15.70,312,01:17:03,19:49,03:58,15.14,291,4886,01:21:26,04:23,04:00,15.01
SWE,D35,5867,01:37:47,00:23:31,23:31,04:43,12.75,592,00:46:17,22:45,04:34,13.18,454,01:09:38,23:20,04:41,12.85,380,01:32:56,23:18,04:40,12.87,319,5867,01:37:47,04:50,04:26,13.58
SWE,H35,4886,01:21:26,00:18:47,18:47,03:46,15.97,270,00:37:20,18:33,03:43,16.17,263,00:56:50,19:29,03:54,15.39,278,01:17:09,20:19,04:04,14.76,304,4886,01:21:26,04:17,03:55,15.35
IRL,H35,4888,01:21:28,00:20:48,20:48,04:10,14.42,1410,00:39:57,19:08,03:50,15.67,798,00:58:41,18:44,03:45,16.00,458,01:17:34,18:52,03:47,15.90,325,4888,01:21:28,03:54,03:34,16.85
SWE,D17,5867,01:37:47,00:23:04,23:04,04:37,13.00,409,00:45:44,22:39,04:32,13.24,371,01:08:57,23:13,04:39,12.92,325,01:32:53,23:55,04:48,12.54,316,5867,01:37:47,04:54,04:29,13.43
SWE,H35,4888,01:21:28,00:18:30,18:30,03:43,16.21,203,00:36:47,18:16,03:40,16.42,196,00:56:37,19:50,03:59,15.12,260,01:17:06,20:28,04:06,14.65,298,4888,01:21:28,04:22,04:00,15.04
SWE,D40,5869,01:37:49,00:23:16,23:16,04:40,12.89,486,00:45:37,22:20,04:29,13.43,354,01:08:48,23:11,04:39,12.94,312,01:32:51,24:02,04:49,12.48,313,5869,01:37:49,04:57,04:32,13.26
SWE,H17,4890,01:21:30,00:18:40,18:40,03:45,16.06,238,00:37:18,18:37,03:44,16.11,257,00:56:42,19:24,03:53,15.46,265,01:17:06,20:23,04:05,14.71,299,4890,01:21:30,04:23,04:01,14.98
DEN,D45,5869,01:37:49,00:23:16,23:16,04:40,12.89,483,00:45:50,22:34,04:31,13.29,384,01:09:02,23:12,04:39,12.93,331,01:32:49,23:47,04:46,12.61,311,5869,01:37:49,05:00,04:34,13.16
SWE,D17,5869,01:37:49,00:23:20,23:20,04:41,12.85,511,00:46:07,22:47,04:34,13.17,424,01:09:24,23:16,04:40,12.89,359,01:32:55,23:31,04:43,12.75,318,5869,01:37:49,04:54,04:29,13.41
SWE,H40,4890,01:21:30,00:18:17,18:17,03:40,16.40,173,00:37:10,18:52,03:47,15.89,238,00:57:04,19:54,03:59,15.07,299,01:17:21,20:16,04:04,14.80,314,4890,01:21:30,04:09,03:48,15.81
SWE,D17,5871,01:37:51,00:22:56,22:56,04:36,13.08,382,00:45:31,22:35,04:32,13.28,347,01:08:51,23:19,04:40,12.86,315,01:32:48,23:56,04:48,12.53,310,5871,01:37:51,05:02,04:36,13.05
SWE,H17,4895,01:21:35,00:17:44,17:44,03:33,16.92,107,00:35:52,18:08,03:38,16.54,124,00:55:19,19:27,03:54,15.41,167,01:16:52,21:32,04:19,13.93,278,4895,01:21:35,04:42,04:18,13.97
SWE,D17,5872,01:37:52,00:22:36,22:36,04:32,13.27,286,00:44:52,22:16,04:28,13.47,259,01:08:07,23:15,04:40,12.90,264,01:32:40,24:33,04:55,12.21,300,5872,01:37:52,05:11,04:44,12.68
DEN,H35,4896,01:21:36,00:18:41,18:41,03:45,16.05,242,00:37:12,18:31,03:43,16.20,245,00:56:44,19:31,03:55,15.36,268,01:17:05,20:21,04:05,14.74,297,4896,01:21:36,04:30,04:07,14.59
