nationality,class,time_s,time,5ktime,5kdiff,5kminperk,5kkmh,5kplace,10ktime,10kdiff,10kminperk,10kkmh,10kplace,15ktime,15kdiff,15kminperk,15kkmh,15kplace,20ktime,20kdiff,20kminperk,20kkmh,20kplace,finishtime_s,finishtime,finishdiff,finishminperk,finishkmh
SWE,H40,4956,01:22:36,00:19:30,19:30,03:55,15.38,502,00:38:40,19:10,03:51,15.64,449,00:58:15,19:34,03:55,15.33,413,01:18:14,19:59,04:00,15.01,390,4956,01:22:36,04:21,03:59,15.08
SWE,D17,5942,01:39:02,00:23:07,23:07,04:38,12.97,427,00:45:46,22:39,04:32,13.24,376,01:09:23,23:37,04:44,12.70,358,01:33:49,24:26,04:54,12.28,384,5942,01:39:02,05:12,04:46,12.63
SWE,H35,4956,01:22:36,00:19:09,19:09,03:50,15.67,374,00:38:22,19:13,03:51,15.60,403,00:58:06,19:43,03:57,15.20,397,01:18:12,20:05,04:02,14.93,388,4956,01:22:36,04:23,04:01,14.97
SWE,D40,5945,01:39:05,00:22:44,22:44,04:33,13.19,325,00:45:03,22:18,04:28,13.45,284,01:08:45,23:42,04:45,12.65,308,01:33:48,25:02,05:01,11.98,381,5945,01:39:05,05:17,04:50,12.44
SWE,H40,4960,01:22:40,00:18:36,18:36,03:44,16.13,223,00:37:42,19:05,03:50,15.71,311,00:57:34,19:52,03:59,15.09,348,01:18:11,20:36,04:08,14.55,384,4960,01:22:40,04:28,04:05,14.71
SWE,D40,5946,01:39:06,00:22:59,22:59,04:36,13.05,397,00:45:48,22:49,04:34,13.14,378,01:09:44,23:55,04:48,12.54,389,01:34:05,24:21,04:53,12.32,402,5946,01:39:06,05:00,04:34,13.14
SWE,H50,4963,01:22:43,00:19:22,19:22,03:53,15.49,439,00:38:35,19:13,03:51,15.61,433,00:58:31,19:56,04:00,15.05,438,01:18:21,19:49,03:58,15.13,395,4963,01:22:43,04:22,04:00,15.04
SUI,D40,5946,01:39:06,00:22:07,22:07,04:26,13.56,210,00:44:48,22:41,04:33,13.22,256,01:09:11,24:22,04:53,12.30,341,01:33:58,24:46,04:58,12.11,391,5946,01:39:06,05:08,04:42,12.79
SWE,H35,4965,01:22:45,00:19:03,19:03,03:49,15.74,348,00:38:00,18:56,03:48,15.84,344,00:58:06,20:06,04:02,14.92,396,01:18:25,20:19,04:04,14.77,397,4965,01:22:45,04:20,03:58,15.19
SWE,D45,5947,01:39:07,00:23:10,23:10,04:39,12.94,445,00:46:01,22:50,04:35,13.13,413,01:09:39,23:37,04:44,12.70,381,01:33:44,24:05,04:50,12.45,378,5947,01:39:07,05:23,04:55,12.23
SWE,D17,5947,01:39:07,00:23:21,23:21,04:41,12.84,518,00:46:31,23:09,04:38,12.96,491,01:10:05,23:34,04:43,12.72,427,01:34:02,23:56,04:48,12.53,395,5947,01:39:07,05:05,04:39,12.92
SWE,H40,4966,01:22:46,00:19:26,19:26,03:54,15.43,473,00:38:25,18:59,03:48,15.80,415,00:58:25,19:59,04:00,15.00,429,01:18:37,20:12,04:03,14.85,405,4966,01:22:46,04:08,03:47,15.88
SWE,H40,4966,01:22:46,00:19:43,19:43,03:57,15.21,616,00:39:24,19:40,03:57,15.24,622,00:59:08,19:44,03:57,15.20,514,01:18:48,19:40,03:57,15.25,419,4966,01:22:46,03:57,03:37,16.60
SWE,H17,4967,01:22:47,00:19:58,19:58,04:00,15.02,766,00:39:09,19:11,03:51,15.64,550,00:58:42,19:33,03:55,15.34,459,01:18:39,19:56,04:00,15.04,406,4967,01:22:47,04:07,03:46,15.95
SWE,D17,5950,01:39:10,00:23:23,23:23,04:41,12.82,532,00:46:49,23:26,04:42,12.80,553,01:10:11,23:22,04:41,12.84,436,01:34:19,24:07,04:50,12.43,414,5950,01:39:10,04:51,04:26,13.57
SWE,H17,4969,01:22:49,00:19:03,19:03,03:49,15.74,347,00:37:40,18:36,03:44,16.11,310,00:57:19,19:38,03:56,15.27,323,01:18:11,20:51,04:11,14.38,382,4969,01:22:49,04:38,04:15,14.16
SWE,D40,5950,01:39:10,00:23:11,23:11,04:39,12.94,446,00:46:22,23:11,04:39,12.94,461,01:10:00,23:38,04:44,12.69,420,01:34:13,24:12,04:51,12.39,406,5950,01:39:10,04:57,04:32,13.25
SWE,D40,5953,01:39:13,00:23:13,23:13,04:39,12.92,465,00:46:01,22:47,04:34,13.16,412,01:09:51,23:50,04:47,12.59,401,01:34:08,24:16,04:52,12.36,404,5953,01:39:13,05:05,04:39,12.94
SWE,H17,4971,01:22:51,00:19:04,19:04,03:49,15.72,353,00:37:54,18:49,03:46,15.94,336,00:57:32,19:38,03:56,15.27,345,01:18:23,20:51,04:11,14.39,396,4971,01:22:51,04:27,04:04,14.77
SWE,D40,5954,01:39:14,00:22:28,22:28,04:30,13.35,254,00:45:21,22:52,04:35,13.11,320,01:09:31,24:09,04:50,12.41,369,01:34:03,24:32,04:55,12.22,399,5954,01:39:14,05:10,04:43,12.73
SWE,H17,4972,01:22:52,00:19:33,19:33,03:55,15.34,533,00:38:41,19:08,03:50,15.68,452,00:58:04,19:23,03:53,15.47,393,01:18:13,20:08,04:02,14.89,389,4972,01:22:52,04:39,04:15,14.13
SWE,H17,4973,01:22:53,00:18:39,18:39,03:44,16.08,232,00:37:13,18:33,03:43,16.17,247,00:58:14,21:01,04:13,14.27,410,01:18:40,20:25,04:06,14.69,407,4973,01:22:53,04:13,03:51,15.61
SWE,D50,5955,01:39:15,00:23:11,23:11,04:39,12.94,454,00:46:35,23:23,04:41,12.82,503,01:10:43,24:08,04:50,12.43,497,01:34:14,23:30,04:43,12.76,407,5955,01:39:15,05:01,04:35,13.11
SWE,H17,4973,01:22:53,00:18:26,18:26,03:42,16.27,193,00:37:18,18:51,03:47,15.90,255,00:57:12,19:54,03:59,15.08,309,01:18:07,20:55,04:12,14.34,371,4973,01:22:53,04:45,04:21,13.81
SWE,D35,5956,01:39:16,00:22:41,22:41,04:33,13.22,310,00:45:21,22:40,04:32,13.24,322,01:09:17,23:55,04:48,12.54,345,01:34:05,24:48,04:58,12.10,401,5956,01:39:16,05:10,04:44,12.71
SWE,H17,4974,01:22:54,00:19:30,19:30,03:55,15.38,499,00:38:46,19:16,03:52,15.56,466,00:58:31,19:45,03:58,15.19,439,01:18:46,20:14,04:03,14.82,415,4974,01:22:54,04:07,03:46,15.93
SWE,D40,5957,01:39:17,00:23:56,23:56,04:48,12.53,781,00:47:00,23:04,04:37,13.00,590,01:10:34,23:34,04:43,12.73,478,01:34:20,23:46,04:46,12.62,417,5957,01:39:17,04:56,04:31,13.33
SWE,H35,4975,01:22:55,00:19:32,19:32,03:55,15.35,522,00:38:49,19:16,03:52,15.57,474,00:58:33,19:44,03:57,15.19,443,01:18:41,20:07,04:02,14.90,408,4975,01:22:55,04:14,03:52,15.54
SWE,D17,5957,01:39:17,00:22:57,22:57,04:36,13.07,388,00:45:41,22:44,04:33,13.19,366,01:09:47,24:05,04:50,12.45,395,01:34:05,24:17,04:52,12.35,400,5957,01:39:17,05:11,04:45,12.66
SWE,D17,5957,01:39:17,00:23:04,23:04,04:37,13.00,411,00:46:06,23:01,04:37,13.03,420,01:09:58,23:51,04:47,12.57,416,01:34:16,24:17,04:52,12.35,411,5957,01:39:17,05:01,04:35,13.10
SWE,H40,4977,01:22:57,00:19:32,19:32,03:55,15.35,526,00:38:39,19:06,03:50,15.70,446,00:58:22,19:43,03:57,15.21,424,01:18:42,20:20,04:05,14.75,411,4977,01:22:57,04:14,03:53,15.51
SWE,H40,4978,01:22:58,00:19:08,19:08,03:50,15.68,370,00:38:11,19:03,03:49,15.74,373,00:58:02,19:50,03:59,15.12,389,01:18:37,20:34,04:07,14.58,402,4978,01:22:58,04:20,03:58,15.14
SWE,D35,5958,01:39:18,00:23:49,23:49,04:46,12.59,724,00:46:32,22:42,04:33,13.21,493,01:10:28,23:56,04:48,12.53,466,01:34:21,23:52,04:47,12.56,419,5958,01:39:18,04:57,04:31,13.29
SWE,H40,4978,01:22:58,00:19:37,19:37,03:56,15.29,568,00:38:48,19:11,03:51,15.64,473,00:58:30,19:41,03:57,15.23,435,01:18:35,20:04,04:01,14.94,398,4978,01:22:58,04:23,04:01,14.98
SWE,D35,5958,01:39:18,00:22:33,22:33,04:31,13.30,276,00:45:24,22:51,04:35,13.12,332,01:09:18,23:53,04:47,12.55,347,01:34:00,24:41,04:57,12.15,393,5958,01:39:18,05:18,04:51,12.39
SWE,D40,5959,01:39:19,00:23:21,23:21,04:41,12.84,517,00:46:06,22:45,04:34,13.19,422,01:10:12,24:06,04:50,12.45,440,01:34:21,24:08,04:50,12.43,418,5959,01:39:19,04:58,04:33,13.22
SWE,H17,4979,01:22:59,00:20:45,20:45,04:10,14.45,1345,00:39:39,18:54,03:47,15.87,700,00:59:05,19:26,03:54,15.43,508,01:18:45,19:39,03:56,15.26,413,4979,01:22:59,04:14,03:52,15.52
SWE,H45,4979,01:22:59,00:19:33,19:33,03:55,15.34,535,00:38:42,19:09,03:50,15.67,454,00:58:23,19:40,03:57,15.25,425,01:18:35,20:11,04:03,14.85,399,4979,01:22:59,04:24,04:02,14.94
SWE,D17,5960,01:39:20,00:23:18,23:18,04:40,12.87,498,00:46:28,23:10,04:39,12.95,482,01:10:07,23:38,04:44,12.69,431,01:34:09,24:02,04:49,12.48,405,5960,01:39:20,05:10,04:44,12.70
SWE,D17,5962,01:39:22,00:23:08,23:08,04:38,12.97,430,00:45:39,22:31,04:31,13.32,361,01:09:11,23:31,04:43,12.75,340,01:34:02,24:51,04:59,12.07,396,5962,01:39:22,05:20,04:52,12.34
SWE,H17,4980,01:23:00,00:18:45,18:45,03:46,15.99,260,00:37:30,18:44,03:45,16.00,287,00:57:21,19:50,03:59,15.12,325,01:18:36,21:14,04:15,14.12,400,4980,01:23:00,04:24,04:01,14.95
SWE,H45,4980,01:23:00,00:19:30,19:30,03:54,15.38,496,00:38:28,18:58,03:48,15.81,423,00:58:13,19:45,03:58,15.19,408,01:18:42,20:28,04:06,14.65,410,4980,01:23:00,04:18,03:56,15.27
SWE,D17,5965,01:39:25,00:24:46,24:46,04:58,12.11,1228,00:48:17,23:31,04:43,12.75,866,01:11:47,23:29,04:42,12.77,627,01:34:41,22:54,04:35,13.10,439,5965,01:39:25,04:43,04:19,13.92
SWE,D17,5965,01:39:25,00:22:25,22:25,04:30,13.37,249,00:45:06,22:40,04:33,13.23,290,01:09:20,24:13,04:51,12.39,351,01:34:15,24:55,05:00,12.04,409,5965,01:39:25,05:10,04:43,12.73
SWE,H17,4981,01:23:01,00:20:06,20:06,04:02,14.91,867,00:38:59,18:52,03:47,15.89,512,00:58:41,19:42,03:57,15.23,456,01:18:47,20:06,04:02,14.92,418,4981,01:23:01,04:13,03:52,15.55
SWE,D17,5965,01:39:25,00:23:34,23:34,04:43,12.72,617,00:46:22,22:47,04:34,13.16,463,01:10:20,23:58,04:48,12.52,452,01:34:29,24:08,04:50,12.42,423,5965,01:39:25,04:56,04:30,13.34
SWE,H40,4982,01:23:02,00:18:27,18:27,03:42,16.25,198,00:36:11,17:43,03:33,16.93,151,00:55:29,19:18,03:52,15.54,176,01:18:09,22:39,04:32,13.24,376,4982,01:23:02,04:53,04:28,13.46
SWE,D17,5966,01:39:26,00:23:47,23:47,04:46,12.61,710,00:46:48,23:01,04:37,13.03,545,01:10:21,23:32,04:43,12.75,454,01:34:19,23:58,04:48,12.51,415,5966,01:39:26,05:06,04:40,12.87
SWE,H17,4982,01:23:02,00:19:16,19:16,03:52,15.56,409,00:38:25,19:08,03:50,15.67,416,00:58:15,19:49,03:58,15.14,411,01:18:37,20:22,04:05,14.73,404,4982,01:23:02,04:25,04:03,14.87
SWE,D17,5967,01:39:27,00:23:17,23:17,04:40,12.88,490,00:46:14,22:57,04:36,13.07,447,01:10:08,23:53,04:47,12.56,432,01:34:36,24:28,04:54,12.26,433,5967,01:39:27,04:50,04:25,13.59
SWE,H35,4983,01:23:03,00:19:29,19:29,03:54,15.39,493,00:38:45,19:15,03:52,15.58,462,00:58:28,19:43,03:57,15.21,431,01:18:46,20:18,04:04,14.77,417,4983,01:23:03,04:16,03:54,15.39
SWE,H45,4984,01:23:04,00:19:35,19:35,03:56,15.32,548,00:38:53,19:18,03:52,15.54,496,00:58:29,19:35,03:56,15.31,433,01:18:43,20:14,04:03,14.82,412,4984,01:23:04,04:20,03:58,15.14
SWE,D17,5967,01:39:27,00:23:29,23:29,04:42,12.77,576,00:46:16,22:46,04:34,13.18,449,01:10:04,23:48,04:46,12.60,424,01:34:30,24:26,04:54,12.27,424,5967,01:39:27,04:56,04:31,13.32
SWE,D35,5969,01:39:29,00:22:48,22:48,04:34,13.15,344,00:45:54,23:06,04:38,12.99,396,01:09:58,24:04,04:49,12.46,418,01:34:17,24:18,04:52,12.34,412,5969,01:39:29,05:12,04:45,12.66
SWE,H35,4986,01:23:06,00:19:28,19:28,03:54,15.41,483,00:38:24,18:56,03:48,15.84,410,00:58:01,19:36,03:56,15.29,387,01:18:41,20:40,04:09,14.52,409,4986,01:23:06,04:24,04:02,14.92
SWE,D17,5969,01:39:29,00:22:48,22:48,04:34,13.16,342,00:45:40,22:52,04:35,13.11,363,01:09:35,23:54,04:47,12.55,374,01:34:33,24:58,05:00,12.01,427,5969,01:39:29,04:55,04:30,13.35
SWE,H35,4987,01:23:07,00:18:46,18:46,03:46,15.97,267,00:37:47,19:00,03:49,15.79,321,00:58:04,20:17,04:04,14.78,392,01:18:56,20:51,04:11,14.38,428,4987,01:23:07,04:10,03:49,15.74
SWE,H35,4989,01:23:09,00:19:54,19:54,03:59,15.07,716,00:39:17,19:23,03:53,15.47,589,00:59:02,19:44,03:57,15.20,495,01:18:57,19:55,04:00,15.06,433,4989,01:23:09,04:11,03:50,15.69
SWE,D17,5969,01:39:29,00:22:32,22:32,04:31,13.31,274,00:45:20,22:48,04:34,13.15,318,01:09:33,24:12,04:51,12.39,372,01:34:03,24:29,04:54,12.25,398,5969,01:39:29,05:26,04:58,12.10
SWE,D35,5971,01:39:31,00:23:12,23:12,04:39,12.93,457,00:46:37,23:24,04:41,12.81,508,01:10:43,24:06,04:50,12.44,497,01:34:29,23:45,04:46,12.63,422,5971,01:39:31,05:01,04:36,13.09
SWE,H35,4990,01:23:10,00:19:23,19:23,03:53,15.47,448,00:38:50,19:27,03:54,15.42,484,00:58:34,19:43,03:57,15.21,444,01:18:57,20:23,04:05,14.71,434,4990,01:23:10,04:12,03:51,15.63
SWE,H17,4990,01:23:10,00:19:18,19:18,03:52,15.54,418,00:38:18,18:59,03:48,15.80,395,00:58:11,19:53,03:59,15.08,407,01:18:49,20:37,04:08,14.54,422,4990,01:23:10,04:21,03:58,15.13
SWE,D40,5971,01:39:31,00:23:49,23:49,04:46,12.59,722,00:46:48,22:59,04:36,13.05,544,01:10:36,23:47,04:46,12.61,482,01:34:29,23:53,04:47,12.56,421,5971,01:39:31,05:02,04:36,13.07
SWE,D45,5971,01:39:31,00:22:48,22:48,04:34,13.15,348,00:45:50,23:02,04:37,13.02,386,01:09:56,24:05,04:50,12.45,413,01:34:39,24:43,04:57,12.14,436,5971,01:39:31,04:51,04:27,13.53
SWE,H40,4991,01:23:11,00:19:51,19:51,03:59,15.11,691,00:39:10,19:19,03:52,15.52,558,00:58:59,19:48,03:58,15.14,488,01:18:56,19:57,04:00,15.04,429,4991,01:23:11,04:14,03:53,15.50
NOR,D35,5973,01:39:33,00:23:35,23:35,04:44,12.71,621,00:46:27,22:51,04:35,13.12,479,01:10:36,24:08,04:50,12.42,483,01:34:33,23:57,04:48,12.52,430,5973,01:39:33,04:59,04:33,13.19
SWE,H45,4991,01:23:11,00:19:25,19:25,03:54,15.44,466,00:38:36,19:10,03:51,15.65,437,00:58:15,19:39,03:56,15.27,412,01:18:46,20:31,04:07,14.62,416,4991,01:23:11,04:24,04:02,14.93
SWE,D35,5973,01:39:33,00:23:14,23:14,04:39,12.91,470,00:46:14,22:59,04:36,13.04,445,01:10:06,23:52,04:47,12.57,429,01:34:20,24:13,04:51,12.39,416,5973,01:39:33,05:13,04:46,12.59
SWE,H17,4991,01:23:11,00:19:34,19:34,03:55,15.32,542,00:39:00,19:26,03:54,15.44,520,00:58:54,19:53,03:59,15.08,481,01:18:59,20:04,04:01,14.95,436,4991,01:23:11,04:12,03:50,15.66
SWE,D50,5974,01:39:34,00:23:37,23:37,04:44,12.70,629,00:46:48,23:11,04:39,12.94,543,01:10:27,23:39,04:44,12.68,462,01:34:35,24:07,04:50,12.44,432,5974,01:39:34,04:58,04:33,13.21
SWE,H35,4991,01:23:11,00:19:37,19:37,03:56,15.29,570,00:38:44,19:07,03:50,15.69,457,00:58:34,19:50,03:59,15.12,445,01:18:56,20:21,04:05,14.74,427,4991,01:23:11,04:15,03:53,15.45
SWE,H40,4991,01:23:11,00:20:01,20:01,04:01,14.98,798,00:39:42,19:41,03:57,15.23,716,00:59:26,19:43,03:57,15.20,558,01:19:00,19:33,03:55,15.34,438,4991,01:23:11,04:11,03:50,15.68
SWE,D35,5974,01:39:34,00:23:30,23:30,04:43,12.76,581,00:46:10,22:39,04:32,13.24,430,01:09:44,23:33,04:43,12.73,387,01:34:18,24:34,04:55,12.21,413,5974,01:39:34,05:16,04:49,12.48
CAN,H17,4992,01:23:12,00:18:57,18:57,03:48,15.82,315,00:37:29,18:31,03:43,16.19,284,00:57:04,19:34,03:55,15.32,298,01:18:08,21:04,04:13,14.24,372,4992,01:23:12,05:04,04:38,12.98
SWE,D17,5976,01:39:36,00:23:10,23:10,04:39,12.94,443,00:46:10,22:59,04:36,13.04,431,01:09:52,23:41,04:45,12.66,405,01:34:15,24:22,04:53,12.31,410,5976,01:39:36,05:20,04:53,12.31
SWE,H40,4993,01:23:13,00:19:39,19:39,03:56,15.27,579,00:38:59,19:20,03:53,15.51,513,00:58:36,19:37,03:56,15.29,448,01:18:46,20:09,04:02,14.88,414,4993,01:23:13,04:27,04:04,14.76
SWE,H35,4993,01:23:13,00:19:36,19:36,03:56,15.30,560,00:38:54,19:18,03:52,15.54,500,00:58:32,19:37,03:56,15.29,440,01:18:49,20:16,04:04,14.79,420,4993,01:23:13,04:24,04:02,14.93
NOR,D17,5977,01:39:37,00:22:33,22:33,04:31,13.30,278,00:45:18,22:44,04:33,13.19,309,01:09:19,24:01,04:49,12.49,349,01:34:33,25:14,05:03,11.89,427,5977,01:39:37,05:04,04:38,12.99
SWE,D40,5978,01:39:38,00:23:31,23:31,04:43,12.75,591,00:47:01,23:29,04:42,12.77,594,01:10:46,23:45,04:46,12.63,505,01:34:43,23:56,04:48,12.53,442,5978,01:39:38,04:55,04:30,13.36
SWE,D17,5979,01:39:39,00:24:12,24:12,04:51,12.39,899,00:47:01,22:48,04:34,13.15,597,01:10:30,23:28,04:42,12.78,470,01:34:40,24:10,04:51,12.41,437,5979,01:39:39,04:59,04:33,13.20
SWE,D17,5979,01:39:39,00:23:22,23:22,04:41,12.84,520,00:46:13,22:51,04:35,13.12,442,01:09:50,23:36,04:44,12.71,398,01:34:32,24:41,04:57,12.15,425,5979,01:39:39,05:07,04:41,12.84
SWE,H35,4993,01:23:13,00:19:16,19:16,03:52,15.56,408,00:38:24,19:07,03:50,15.68,407,00:58:16,19:52,03:59,15.10,417,01:18:55,20:38,04:08,14.53,424,4993,01:23:13,04:18,03:56,15.29
SWE,H45,4993,01:23:13,00:18:42,18:42,03:45,16.03,247,00:37:34,18:51,03:47,15.91,294,00:57:43,20:09,04:02,14.88,355,01:18:49,21:05,04:14,14.23,420,4993,01:23:13,04:24,04:02,14.93
SWE,H17,4994,01:23:14,00:19:42,19:42,03:57,15.22,605,00:38:53,19:11,03:51,15.63,498,00:58:49,19:55,04:00,15.05,471,01:19:02,20:13,04:03,14.84,441,4994,01:23:14,04:11,03:50,15.70
SWE,D45,5979,01:39:39,00:22:56,22:56,04:36,13.08,381,00:45:55,22:59,04:36,13.05,399,01:10:20,24:24,04:53,12.29,451,01:34:29,24:08,04:50,12.43,420,5979,01:39:39,05:10,04:44,12.70
SWE,H35,4996,01:23:16,00:19:07,19:07,03:50,15.69,361,00:38:16,19:09,03:50,15.65,389,00:58:24,20:07,04:02,14.90,428,01:19:05,20:40,04:09,14.51,444,4996,01:23:16,04:11,03:49,15.73
SWE,D17,5980,01:39:40,00:23:09,23:09,04:38,12.96,435,00:46:45,23:35,04:44,12.72,534,01:11:01,24:16,04:52,12.36,532,01:34:38,23:36,04:44,12.71,435,5980,01:39:40,05:01,04:35,13.09
SWE,D40,5981,01:39:41,00:23:14,23:14,04:39,12.91,469,00:46:05,22:51,04:35,13.12,419,01:10:03,23:57,04:48,12.52,423,01:34:37,24:34,04:55,12.21,434,5981,01:39:41,05:03,04:37,13.00
SWE,H35,4997,01:23:17,00:19:57,19:57,04:00,15.03,760,00:39:11,19:13,03:51,15.60,564,00:58:55,19:43,03:57,15.21,482,01:19:00,20:05,04:02,14.94,439,4997,01:23:17,04:16,03:55,15.38
SWE,D17,5982,01:39:42,00:24:06,24:06,04:50,12.45,846,00:47:51,23:45,04:46,12.63,771,01:12:08,24:17,04:52,12.35,675,01:35:09,23:00,04:37,13.04,476,5982,01:39:42,04:33,04:10,14.42
SWE,H40,4998,01:23:18,00:19:11,19:11,03:51,15.63,388,00:38:27,19:15,03:52,15.58,419,00:58:24,19:57,04:00,15.03,427,01:18:58,20:34,04:07,14.59,435,4998,01:23:18,04:19,03:57,15.23
SWE,D17,5983,01:39:43,00:23:22,23:22,04:41,12.83,522,00:46:56,23:33,04:43,12.73,574,01:10:43,23:47,04:46,12.61,496,01:34:42,23:59,04:48,12.50,441,5983,01:39:43,05:00,04:34,13.14
SWE,H40,4998,01:23:18,00:19:36,19:36,03:56,15.30,566,00:39:04,19:28,03:54,15.41,536,00:58:56,19:51,03:59,15.11,484,01:19:06,20:10,04:03,14.87,446,4998,01:23:18,04:12,03:51,15.65
SWE,H40,4999,01:23:19,00:19:21,19:21,03:53,15.49,438,00:38:23,19:01,03:49,15.77,404,00:57:59,19:36,03:56,15.30,384,01:18:55,20:56,04:12,14.33,426,4999,01:23:19,04:23,04:00,15.00
NZL,D40,5983,01:39:43,00:23:29,23:29,04:42,12.77,575,00:46:36,23:06,04:38,12.98,505,01:10:14,23:38,04:44,12.69,444,01:34:34,24:19,04:52,12.33,431,5983,01:39:43,05:09,04:42,12.77
SWE,H40,5000,01:23:20,00:18:46,18:46,03:46,15.98,265,00:37:43,18:56,03:48,15.84,313,00:57:54,20:11,04:03,14.86,368,01:18:57,21:02,04:13,14.25,431,5000,01:23:20,04:23,04:01,15.00
SWE,D17,5984,01:39:44,00:22:43,22:43,04:33,13.20,321,00:45:35,22:51,04:35,13.12,350,01:09:44,24:08,04:50,12.42,387,01:34:33,24:49,04:58,12.09,426,5984,01:39:44,05:11,04:44,12.70
SWE,D40,5985,01:39:45,00:23:34,23:34,04:43,12.73,610,00:46:43,23:09,04:38,12.96,527,01:10:32,23:48,04:46,12.60,475,01:34:45,24:13,04:51,12.38,446,5985,01:39:45,04:59,04:33,13.20
SWE,H17,5001,01:23:21,00:19:31,19:31,03:55,15.37,510,00:38:46,19:15,03:52,15.58,468,00:58:38,19:51,03:59,15.10,454,01:19:12,20:33,04:07,14.59,451,5001,01:23:21,04:09,03:48,15.84
SWE,H17,5001,01:23:21,00:18:10,18:10,03:39,16.51,160,00:36:55,18:45,03:46,16.00,210,00:57:10,20:15,04:04,14.81,308,01:18:37,21:26,04:18,13.99,403,5001,01:23:21,04:44,04:20,13.90
SWE,D17,5986,01:39:46,00:23:23,23:23,04:41,12.82,533,00:46:33,23:09,04:38,12.96,495,01:10:20,23:47,04:46,12.61,453,01:34:41,24:20,04:53,12.32,440,5986,01:39:46,05:04,04:38,12.97
SWE,D50,5987,01:39:47,00:22:54,22:54,04:35,13.10,371,00:45:42,22:48,04:34,13.15,368,01:09:56,24:14,04:51,12.38,414,01:34:45,24:48,04:58,12.09,445,5987,01:39:47,05:02,04:36,13.05
SWE,H17,5001,01:23:21,00:19:11,19:11,03:51,15.64,383,00:38:15,19:04,03:49,15.72,386,00:58:22,20:06,04:02,14.92,423,01:18:59,20:37,04:08,14.55,437,5001,01:23:21,04:22,04:00,15.04
SWE,D35,5989,01:39:49,00:23:23,23:23,04:41,12.83,526,00:46:41,23:18,04:40,12.87,522,01:10:46,24:05,04:50,12.45,506,01:34:44,23:57,04:48,12.53,443,5989,01:39:49,05:05,04:39,12.91
SWE,H40,5002,01:23:22,00:20:20,20:20,04:05,14.74,1009,00:39:30,19:09,03:50,15.66,649,00:59:22,19:52,03:59,15.10,548,01:19:11,19:48,03:58,15.14,450,5002,01:23:22,04:11,03:49,15.73
SWE,H35,5002,01:23:22,00:19:39,19:39,03:56,15.26,583,00:38:59,19:20,03:53,15.52,515,00:58:45,19:46,03:58,15.18,464,01:19:02,20:16,04:04,14.80,440,5002,01:23:22,04:20,03:58,15.15
SWE,D17,5990,01:39:50,00:23:04,23:04,04:37,13.00,413,00:46:11,23:07,04:38,12.98,436,01:10:19,24:07,04:50,12.44,450,01:34:41,24:22,04:53,12.31,438,5990,01:39:50,05:08,04:42,12.78
SWE,D17,5991,01:39:51,00:23:46,23:46,04:46,12.62,698,00:46:51,23:04,04:37,13.00,560,01:10:28,23:37,04:44,12.70,463,01:34:48,24:20,04:53,12.33,449,5991,01:39:51,05:02,04:36,13.05
SWE,H35,5004,01:23:24,00:20:01,20:01,04:01,14.98,800,00:39:38,19:37,03:56,15.29,692,00:59:23,19:45,03:57,15.19,551,01:19:15,19:52,03:59,15.10,458,5004,01:23:24,04:09,03:48,15.85
SWE,H40,5005,01:23:25,00:19:33,19:33,03:55,15.34,533,00:38:44,19:11,03:51,15.64,460,00:58:41,19:56,04:00,15.04,457,01:18:57,20:15,04:04,14.81,432,5005,01:23:25,04:28,04:05,14.72
SWE,D35,5993,01:39:53,00:23:27,23:27,04:42,12.79,561,00:46:13,22:46,04:34,13.18,441,01:10:07,23:53,04:47,12.56,430,01:34:57,24:50,04:59,12.08,455,5993,01:39:53,04:56,04:31,13.33
SWE,D40,5994,01:39:54,00:22:40,22:40,04:33,13.23,305,00:45:34,22:53,04:35,13.10,349,01:09:55,24:20,04:53,12.32,410,01:34:52,24:57,05:00,12.02,451,5994,01:39:54,05:02,04:36,13.07
SWE,H35,5006,01:23:26,00:19:32,19:32,03:55,15.35,521,00:38:59,19:27,03:54,15.42,516,00:58:52,19:52,03:59,15.09,477,01:19:02,20:10,04:03,14.87,441,5006,01:23:26,04:23,04:01,14.98
SWE,H35,5008,01:23:28,00:19:44,19:44,03:57,15.20,621,00:38:50,19:06,03:50,15.70,481,00:58:37,19:47,03:58,15.16,452,01:18:57,20:19,04:04,14.76,430,5008,01:23:28,04:31,04:08,14.57
SWE,D17,5994,01:39:54,00:24:08,24:08,04:50,12.43,865,00:47:09,23:00,04:37,13.04,634,01:10:35,23:25,04:42,12.80,480,01:34:48,24:12,04:51,12.39,448,5994,01:39:54,05:06,04:40,12.88
SWE,D17,5995,01:39:55,00:26:23,26:23,05:17,11.36,2819,00:49:43,23:19,04:40,12.86,1329,01:12:45,23:01,04:37,13.03,762,01:35:10,22:24,04:29,13.39,477,5995,01:39:55,04:45,04:20,13.85
SWE,H40,5009,01:23:29,00:19:29,19:29,03:54,15.39,495,00:38:56,19:26,03:54,15.43,506,00:58:59,20:02,04:01,14.97,487,01:19:23,20:24,04:05,14.70,471,5009,01:23:29,04:06,03:45,16.04
SWE,D17,5995,01:39:55,00:23:02,23:02,04:37,13.02,404,00:46:24,23:22,04:41,12.83,472,01:10:30,24:06,04:50,12.45,472,01:34:51,24:21,04:53,12.32,450,5995,01:39:55,05:03,04:38,13.00
